Record_Id,U_Name,U_Id,U_Age,U_Gender,U_IsWorking,U_Time,U_Weekday,U_Weekend,P_Name,P_Id,P_Category,P_Channel,P_Genre,P_SubGenre,P_IsCastFamous,P_Weekend,P_Weekday,P_3MonthSeries,P_3YearSeries,P_Time,P_Rating
1001,User101,101,20,Female,0,Night,1,1,Prg1158,1158,Infotainment,Care_World,Nature,-,0,1,0,1,0,Afternoon,3
1002,User101,101,20,Female,0,Night,1,1,Prg1455,1455,Sports,Ten_sports,cricket,-,0,0,1,1,1,Afternoon,5
1003,User101,101,20,Female,0,Night,1,1,Prg1055,1055,LifeStyle,TLC,Cooking,-,0,0,1,0,0,Afternoon,2
1004,User101,101,20,Female,0,Night,1,1,Prg1475,1475,GEC,Comedy_Central,Action,-,1,0,1,1,1,Afternoon,1
1005,User101,101,20,Female,0,Night,1,1,Prg1188,1188,Sports,Ten_sports,Racing,-,1,0,1,1,1,Afternoon,4
1006,User101,101,20,Female,0,Night,1,1,Prg1343,1343,Infotainment,Topper,Technology,-,0,1,0,1,1,Evening,1
1007,User101,101,20,Female,0,Night,1,1,Prg1006,1006,Infotainment,Topper,Social,-,0,1,1,1,1,Night,3
1008,User101,101,20,Female,0,Night,1,1,Prg1156,1156,Movies,Gemini_Movies,Film/Adventure,-,1,1,1,1,1,Afternoon,3
1009,User101,101,20,Female,0,Night,1,1,Prg1378,1378,Music,Zetc,Gameshow,-,1,1,1,1,0,Morning,4
1010,User101,101,20,Female,0,Night,1,1,Prg1430,1430,GEC,E_Tv,travel,-,0,0,1,0,0,Afternoon,5
1011,User101,101,20,Female,0,Night,1,1,Prg1273,1273,Sports,DD_sports,cricket,-,0,1,1,1,0,Afternoon,3
1012,User101,101,20,Female,0,Night,1,1,Prg1243,1243,Sports,DD_sports,cricket,-,0,1,0,0,0,Afternoon,3
1013,User101,101,20,Female,0,Night,1,1,Prg1217,1217,Movies,Maa_Movies,Film/Sci-Fi,-,0,1,1,1,1,Morning,4
1014,User101,101,20,Female,0,Night,1,1,Prg1063,1063,Movies,Sony_Max,Film/Sci-Fi,-,0,1,0,0,0,Night,2
1015,User101,101,20,Female,0,Night,1,1,Prg1203,1203,GEC,AXN,Comedy,-,1,1,0,1,1,Night,4
1016,User102,102,21,Female,0,Afternoon,0,1,Prg1219,1219,Music,zoom,Telelost,-,0,1,1,1,1,Afternoon,4
1017,User102,102,21,Female,0,Afternoon,0,1,Prg1201,1201,Music,zoom,Gameshow,-,1,1,1,0,0,Night,4
1018,User102,102,21,Female,0,Afternoon,0,1,Prg1461,1461,Kids,nikoledian,Education,-,1,0,1,1,0,Night,5
1019,User102,102,21,Female,0,Afternoon,0,1,Prg1074,1074,Sports,Neo_sports,badminton,-,1,0,1,0,0,Morning,3
1020,User102,102,21,Female,0,Afternoon,0,1,Prg1068,1068,GEC,Star_Plus,Action,-,0,0,1,0,0,Night,2
1021,User102,102,21,Female,0,Afternoon,0,1,Prg1366,1366,Music,M_TV,Request,-,0,0,1,1,1,Evening,1
1022,User102,102,21,Female,0,Afternoon,0,1,Prg1204,1204,Kids,discovery_kids,Entertainment,-,1,0,1,1,0,Evening,4
1023,User102,102,21,Female,0,Afternoon,0,1,Prg1045,1045,Infotainment,NDTV_Good_Times,Cooking,-,1,0,1,1,1,Evening,2
