ViewTime is Morning and WeekDayIndex is 16
Got 2031 ratings from 889 users on 69 Items.
Training: 1229, validation: 388, test: 414
begin predictions
Rating(user=964, product=1148, rating=2.2688288867391075)
Rating(user=697, product=1148, rating=0.35576701010800826)
Rating(user=750, product=1148, rating=3.3437195463813474)
Rating(user=1027, product=1148, rating=2.0333265298003003)
Rating(user=699, product=1148, rating=3.0248254840769624)
Rating(user=192, product=1216, rating=3.4187447329896967)
Rating(user=356, product=1216, rating=3.6091655695691887)
Rating(user=1049, product=1216, rating=3.43914736367059)
Rating(user=310, product=1216, rating=3.7918694159229736)
Rating(user=241, product=1016, rating=3.9080710346411225)
Rating(user=280, product=1444, rating=2.1481723309126632)
Rating(user=990, product=1444, rating=4.590387421152513)
Rating(user=766, product=1444, rating=5.9402362106398545)
Rating(user=674, product=1444, rating=4.09473843431357)
Rating(user=339, product=1444, rating=4.457297103129712)
Rating(user=687, product=1444, rating=5.324280100383799)
Rating(user=817, product=1496, rating=3.408614061824408)
Rating(user=1022, product=1496, rating=1.0951158136266577)
Rating(user=322, product=1004, rating=2.7717085843424147)
Rating(user=1066, product=1004, rating=1.568602322901743)
Rating(user=152, product=1288, rating=3.1835800894071458)
Rating(user=341, product=1288, rating=0.7953621196642879)
Rating(user=990, product=1288, rating=2.9454482625427105)
Rating(user=870, product=1288, rating=3.09270053430967)
Rating(user=626, product=1460, rating=4.2876183005812525)
Rating(user=542, product=1460, rating=5.607088854106777)
Rating(user=787, product=1460, rating=4.76970057037477)
Rating(user=357, product=1212, rating=3.5795105048146754)
Rating(user=935, product=1212, rating=3.472938786967815)
Rating(user=1091, product=1212, rating=3.7379506407671745)
Rating(user=584, product=1428, rating=5.749543514047296)
Rating(user=125, product=1428, rating=3.3381624701627817)
Rating(user=846, product=1428, rating=4.819756365516766)
Rating(user=1017, product=1096, rating=2.6022186675837427)
Rating(user=828, product=1332, rating=0.5324502797960061)
Rating(user=628, product=1332, rating=1.0547675397338907)
Rating(user=392, product=1332, rating=1.0326196833724945)
Rating(user=469, product=1332, rating=1.0970772755443237)
Rating(user=270, product=1332, rating=0.8088099800350049)
Rating(user=447, product=1332, rating=1.0193584106095464)
Rating(user=707, product=1332, rating=0.8984304700563572)
Rating(user=752, product=1420, rating=2.9464276199756227)
Rating(user=330, product=1420, rating=1.5582020516200605)
Rating(user=126, product=1420, rating=3.69452070310815)
Rating(user=274, product=1420, rating=3.681213090786971)
Rating(user=839, product=1420, rating=3.87371301692638)
Rating(user=934, product=1308, rating=2.328222245110584)
Rating(user=894, product=1308, rating=2.6836473813137887)
Rating(user=602, product=1308, rating=2.627850869228436)
Rating(user=239, product=1308, rating=3.043006203438615)
Rating(user=652, product=1396, rating=3.7905960591268446)
Rating(user=242, product=1396, rating=3.746257850254775)
Rating(user=512, product=1108, rating=2.811074488710558)
Rating(user=302, product=1108, rating=0.6125447040119385)
Rating(user=620, product=1132, rating=3.241041860181663)
Rating(user=514, product=1132, rating=3.095767509626519)
Rating(user=735, product=1132, rating=2.6083528428284493)
Rating(user=596, product=1256, rating=3.008183894314909)
Rating(user=514, product=1256, rating=2.93782904713535)
Rating(user=546, product=1256, rating=2.8657100728398195)
Rating(user=727, product=1256, rating=3.2079466491363315)
Rating(user=559, product=1256, rating=2.731096376400363)
Rating(user=948, product=1433, rating=4.200921125140749)
Rating(user=553, product=1433, rating=4.23029921699606)
Rating(user=1054, product=1433, rating=3.010078685721629)
Rating(user=227, product=1433, rating=4.229255193205717)
Rating(user=645, product=1217, rating=3.4399220778674207)
Rating(user=236, product=1253, rating=2.8319660187066216)
Rating(user=1069, product=1253, rating=2.2523549457675895)
Rating(user=134, product=1253, rating=2.352924371266663)
Rating(user=643, product=1253, rating=2.7155338815237817)
Rating(user=587, product=1253, rating=2.8358841392201586)
Rating(user=160, product=1161, rating=2.9088925139579342)
Rating(user=1006, product=1157, rating=2.480155781566308)
Rating(user=684, product=1133, rating=3.6027813951689427)
Rating(user=508, product=1133, rating=2.4397620063913865)
Rating(user=267, product=1133, rating=1.3625444106775138)
Rating(user=628, product=1413, rating=3.8260183641879166)
Rating(user=717, product=1413, rating=3.777699382586877)
Rating(user=842, product=1413, rating=1.6201330937654348)
Rating(user=622, product=1413, rating=3.709845881219891)
Rating(user=238, product=1413, rating=3.4917475874925845)
Rating(user=1086, product=1413, rating=3.733473235575402)
Rating(user=482, product=1245, rating=3.0202034220640863)
